slug,locale,url,status,ok,preview_block_present,internal_leak,unsafe_outcome,raw_enum,en_contains_cjk,old_ai_impact_table_visible,section_excerpt,error
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,https://staging.fermatmind.com/zh/career/jobs/adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,https://staging.fermatmind.com/en/career/jobs/adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
advanced-practice-psychiatric-nurses,zh-CN,https://staging.fermatmind.com/zh/career/jobs/advanced-practice-psychiatric-nurses,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
advanced-practice-psychiatric-nurses,en,https://staging.fermatmind.com/en/career/jobs/advanced-practice-psychiatric-nurses,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
advertising-and-promotions-managers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/advertising-and-promotions-managers,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
advertising-and-promotions-managers,en,https://staging.fermatmind.com/en/career/jobs/advertising-and-promotions-managers,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
advertising-sales-agents,zh-CN,https://staging.fermatmind.com/zh/career/jobs/advertising-sales-agents,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
advertising-sales-agents,en,https://staging.fermatmind.com/en/career/jobs/advertising-sales-agents,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
advertising-promotions-and-marketing-managers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/advertising-promotions-and-marketing-managers,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
advertising-promotions-and-marketing-managers,en,https://staging.fermatmind.com/en/career/jobs/advertising-promotions-and-marketing-managers,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
aerospace-engineering-and-operations-technicians,zh-CN,https://staging.fermatmind.com/zh/career/jobs/aerospace-engineering-and-operations-technicians,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
aerospace-engineering-and-operations-technicians,en,https://staging.fermatmind.com/en/career/jobs/aerospace-engineering-and-operations-technicians,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
aerospace-engineers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/aerospace-engineers,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
aerospace-engineers,en,https://staging.fermatmind.com/en/career/jobs/aerospace-engineers,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,https://staging.fermatmind.com/zh/career/jobs/agents-and-business-managers-of-artists-performers-and-athletes,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
agents-and-business-managers-of-artists-performers-and-athletes,en,https://staging.fermatmind.com/en/career/jobs/agents-and-business-managers-of-artists-performers-and-athletes,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
agricultural-and-food-science-technicians,zh-CN,https://staging.fermatmind.com/zh/career/jobs/agricultural-and-food-science-technicians,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
agricultural-and-food-science-technicians,en,https://staging.fermatmind.com/en/career/jobs/agricultural-and-food-science-technicians,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
agricultural-and-food-scientists,zh-CN,https://staging.fermatmind.com/zh/career/jobs/agricultural-and-food-scientists,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
agricultural-and-food-scientists,en,https://staging.fermatmind.com/en/career/jobs/agricultural-and-food-scientists,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
agricultural-engineers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/agricultural-engineers,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
agricultural-engineers,en,https://staging.fermatmind.com/en/career/jobs/agricultural-engineers,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
agricultural-equipment-operators,zh-CN,https://staging.fermatmind.com/zh/career/jobs/agricultural-equipment-operators,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
agricultural-equipment-operators,en,https://staging.fermatmind.com/en/career/jobs/agricultural-equipment-operators,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
agricultural-inspectors,zh-CN,https://staging.fermatmind.com/zh/career/jobs/agricultural-inspectors,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
agricultural-inspectors,en,https://staging.fermatmind.com/en/career/jobs/agricultural-inspectors,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
agricultural-sciences-teachers-postsecondary,zh-CN,https://staging.fermatmind.com/zh/career/jobs/agricultural-sciences-teachers-postsecondary,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
agricultural-sciences-teachers-postsecondary,en,https://staging.fermatmind.com/en/career/jobs/agricultural-sciences-teachers-postsecondary,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
agricultural-technicians,zh-CN,https://staging.fermatmind.com/zh/career/jobs/agricultural-technicians,200,true,true,false,false,false,false,false,"3 text-xl font-semibold tracking-normal text-slate-950"">最后做现实验证</h3><ul class=""m-0 mt-3 flex-1 space-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""fo",
agricultural-technicians,en,https://staging.fermatmind.com/en/career/jobs/agricultural-technicians,200,true,true,false,false,false,false,false,"e-y-3 p-0""><li class=""list-none text-sm leading-6 text-slate-600""><span class=""font-semibold text-slate-950"">Start the interest test</span><span> - <!-- -->Save your result before ",
